Trade_Type,Year,Continent,Country,Industry,Total_Amount_CHF
Export,2016,Africa,Algeria,Chemische Erzeugnisse,1331186
Export,2016,Africa,Algeria,Metallerzeugnisse,54227
Export,2016,Africa,Algeria,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",4452675
Export,2016,Africa,Algeria,Elektrische Ausrüstungen,1191826
Export,2016,Africa,Algeria,Maschinen,18799921
Export,2016,Africa,Algeria,Dienstleistungen des Verlagswesens,1560
Export,2016,Africa,Algeria,Verschiedene (weitere) Güterkategorien,8170518
Export,2016,Africa,Angola,Verschiedene (weitere) Güterkategorien,966332
Export,2016,Africa,Benin,Verschiedene (weitere) Güterkategorien,1991039
Export,2016,Africa,Burkina Faso,Verschiedene (weitere) Güterkategorien,78488
Export,2016,Africa,Cape Verde,Verschiedene (weitere) Güterkategorien,18134
Export,2016,Africa,Côte d’Ivoire,Chemische Erzeugnisse,3303984
Export,2016,Africa,Côte d’Ivoire,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",21841
Export,2016,Africa,Côte d’Ivoire,Maschinen,869521
Export,2016,Africa,Côte d’Ivoire,Verschiedene (weitere) Güterkategorien,2060007
Export,2016,Africa,Djibouti,Verschiedene (weitere) Güterkategorien,116063
Export,2016,Africa,Eritrea,Verschiedene (weitere) Güterkategorien,136682
Export,2016,Africa,Gabon,Verschiedene (weitere) Güterkategorien,125680
Export,2016,Africa,Gambia,Verschiedene (weitere) Güterkategorien,111102
Export,2016,Africa,Ghana,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",102463
Export,2016,Africa,Ghana,Verschiedene (weitere) Güterkategorien,2119822
Export,2016,Africa,Guinea,Verschiedene (weitere) Güterkategorien,421000
Export,2016,Africa,Cameroon,Gummi- und Kunststoffwaren,18666
Export,2016,Africa,Cameroon,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",65294
Export,2016,Africa,Cameroon,Verschiedene (weitere) Güterkategorien,1016429
Export,2016,Africa,Kenya,Chemische Erzeugnisse,1961571
Export,2016,Africa,Kenya,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",378775
Export,2016,Africa,Kenya,Maschinen,382704
Export,2016,Africa,Kenya,Verschiedene (weitere) Güterkategorien,539985
Export,2016,Africa,Congo - Brazzaville,Verschiedene (weitere) Güterkategorien,520948
Export,2016,Africa,Congo - Kinshasa,Verschiedene (weitere) Güterkategorien,770140
Export,2016,Africa,Liberia,Verschiedene (weitere) Güterkategorien,909385
Export,2016,Africa,Libya,Verschiedene (weitere) Güterkategorien,7917426
Export,2016,Africa,Madagascar,Verschiedene (weitere) Güterkategorien,370639
Export,2016,Africa,Mali,Verschiedene (weitere) Güterkategorien,95755
Export,2016,Africa,Morocco,Nahrungs- und Futtermittel,524273
Export,2016,Africa,Morocco,"Papier, Pappe und Waren daraus",20675
Export,2016,Africa,Morocco,Chemische Erzeugnisse,2342843
Export,2016,Africa,Morocco,Gummi- und Kunststoffwaren,171360
Export,2016,Africa,Morocco,Metallerzeugnisse,74138
Export,2016,Africa,Morocco,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",1624238
Export,2016,Africa,Morocco,Elektrische Ausrüstungen,1195522
Export,2016,Africa,Morocco,Maschinen,1388390
Export,2016,Africa,Morocco,"Waren, a.n.g.",170683
Export,2016,Africa,Morocco,Dienstleistungen des Verlagswesens,53280
Export,2016,Africa,Morocco,Verschiedene (weitere) Güterkategorien,1305421
Export,2016,Africa,Mauritania,Verschiedene (weitere) Güterkategorien,14883
Export,2016,Africa,Mauritius,Gummi- und Kunststoffwaren,104438
Export,2016,Africa,Mauritius,Metallerzeugnisse,23282
Export,2016,Africa,Mauritius,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",161150
Export,2016,Africa,Mauritius,Elektrische Ausrüstungen,113934
Export,2016,Africa,Mauritius,Maschinen,870633
Export,2016,Africa,Mauritius,"Waren, a.n.g.",1674944
Export,2016,Africa,Mauritius,Verschiedene (weitere) Güterkategorien,1272041
Export,2016,Africa,Mozambique,Verschiedene (weitere) Güterkategorien,1738615
Export,2016,Africa,Namibia,Verschiedene (weitere) Güterkategorien,115308
Export,2016,Africa,Niger,Verschiedene (weitere) Güterkategorien,4611555
Export,2016,Africa,Nigeria,Chemische Erzeugnisse,2604234
Export,2016,Africa,Nigeria,Gummi- und Kunststoffwaren,115129
Export,2016,Africa,Nigeria,Metallerzeugnisse,49889
Export,2016,Africa,Nigeria,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",231725
Export,2016,Africa,Nigeria,Elektrische Ausrüstungen,525864
Export,2016,Africa,Nigeria,Maschinen,1712952
Export,2016,Africa,Nigeria,Kraftwagen und Kraftwagenteile,1922880
Export,2016,Africa,Nigeria,Sonstige Fahrzeuge,67593
Export,2016,Africa,Nigeria,Dienstleistungen des Verlagswesens,2295
Export,2016,Africa,Nigeria,Verschiedene (weitere) Güterkategorien,493988
Export,2016,Africa,Réunion,Verschiedene (weitere) Güterkategorien,245612
Export,2016,Africa,Rwanda,Verschiedene (weitere) Güterkategorien,45709
Export,2016,Africa,Zambia,Verschiedene (weitere) Güterkategorien,475814
Export,2016,Africa,Senegal,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",44412
Export,2016,Africa,Senegal,Verschiedene (weitere) Güterkategorien,1647943
Export,2016,Africa,Seychelles,Verschiedene (weitere) Güterkategorien,131552
Export,2016,Africa,Sierra Leone,Verschiedene (weitere) Güterkategorien,254698
Export,2016,Africa,Zimbabwe,Verschiedene (weitere) Güterkategorien,621059
Export,2016,Africa,Sudan,Verschiedene (weitere) Güterkategorien,1110767
Export,2016,Africa,South Africa,Nahrungs- und Futtermittel,3798250
Export,2016,Africa,South Africa,Textilien,59266
Export,2016,Africa,South Africa,Leder und Lederwaren,10572
Export,2016,Africa,South Africa,"Papier, Pappe und Waren daraus",39250
Export,2016,Africa,South Africa,Chemische Erzeugnisse,14432668
Export,2016,Africa,South Africa,Pharmazeutische Erzeugnisse,126038
Export,2016,Africa,South Africa,Gummi- und Kunststoffwaren,561068
Export,2016,Africa,South Africa,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",208204
Export,2016,Africa,South Africa,Metalle,83428
Export,2016,Africa,South Africa,Metallerzeugnisse,3164522
Export,2016,Africa,South Africa,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",56971422
Export,2016,Africa,South Africa,Elektrische Ausrüstungen,4981722
Export,2016,Africa,South Africa,Maschinen,9088252
Export,2016,Africa,South Africa,Sonstige Fahrzeuge,9870836
Export,2016,Africa,South Africa,"Waren, a.n.g.",1060498
Export,2016,Africa,South Africa,Dienstleistungen des Verlagswesens,30667
Export,2016,Africa,South Africa,Verschiedene (weitere) Güterkategorien,1180172
Export,2016,Africa,South Sudan,Verschiedene (weitere) Güterkategorien,25320
Export,2016,Africa,Tanzania,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",29324
Export,2016,Africa,Tanzania,Verschiedene (weitere) Güterkategorien,1064924
Export,2016,Africa,Togo,Kraftwagen und Kraftwagenteile,6690910
Export,2016,Africa,Togo,Verschiedene (weitere) Güterkategorien,442048
Export,2016,Africa,Tunisia,Textilien,260184
Export,2016,Africa,Tunisia,Chemische Erzeugnisse,2680335
Export,2016,Africa,Tunisia,Gummi- und Kunststoffwaren,918419
Export,2016,Africa,Tunisia,Metallerzeugnisse,188364
Export,2016,Africa,Tunisia,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",1201073
Export,2016,Africa,Tunisia,Elektrische Ausrüstungen,3578982
Export,2016,Africa,Tunisia,Maschinen,1811296
Export,2016,Africa,Tunisia,Dienstleistungen des Verlagswesens,27735
Export,2016,Africa,Tunisia,Verschiedene (weitere) Güterkategorien,13966567
Export,2016,Africa,Uganda,Verschiedene (weitere) Güterkategorien,465628
Export,2016,Africa,NA,Verschiedene (weitere) Güterkategorien,1373912
Export,2016,Africa,Egypt,Nahrungs- und Futtermittel,837889
Export,2016,Africa,Egypt,Chemische Erzeugnisse,8958539
Export,2016,Africa,Egypt,Gummi- und Kunststoffwaren,269578
Export,2016,Africa,Egypt,Metallerzeugnisse,253239
Export,2016,Africa,Egypt,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",4565236
Export,2016,Africa,Egypt,Elektrische Ausrüstungen,2041235
Export,2016,Africa,Egypt,Maschinen,15894728
Export,2016,Africa,Egypt,"Waren, a.n.g.",302052
Export,2016,Africa,Egypt,Dienstleistungen des Verlagswesens,22327
Export,2016,Africa,Egypt,Verschiedene (weitere) Güterkategorien,1375394
Export,2016,Africa,Equatorial Guinea,Verschiedene (weitere) Güterkategorien,83725
Export,2016,Africa,Ethiopia,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",2956884
Export,2016,Africa,Ethiopia,Maschinen,1386846
Export,2016,Africa,Ethiopia,Verschiedene (weitere) Güterkategorien,6191766
Export,2016,Americas,United States,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,2687635
Export,2016,Americas,United States,Nahrungs- und Futtermittel,39816313
