exporte_nach_afrika_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,0,0,0,9.6069999999999993,0,52.470999999999997,0,0,0,0,0,0,9.6069999999999993,0,52.470999999999997,0,0,0
C,10,Nahrungs- und Futtermittel,10222.721,8908.473,9074.1970000000001,7257.2659999999996,7820.4620000000004,7584.6769999999997,6997.0969999999998,6559.8490000000002,8643.9869999999992,10222.721,8908.473,9074.1970000000001,7257.2659999999996,7820.4620000000004,7584.6769999999997,6997.0969999999998,6559.8490000000002,8643.9869999999992
C,11,Getränke,947.149,743.81200000000001,454.34,315.43299999999999,0,0,0,0,0,947.149,743.81200000000001,454.34,315.43299999999999,0,0,0,0,0
C,13,Textilien,898.21500000000003,1470.847,2503.8580000000002,3225.319,3096.085,544.51400000000001,779.84699999999998,687.26599999999996,282.06599999999997,898.21500000000003,1470.847,2503.8580000000002,3225.319,3096.085,544.51400000000001,779.84699999999998,687.26599999999996,282.06599999999997
C,14,Bekleidung,77.977999999999994,78.194999999999993,61.444000000000003,39.814999999999998,560.62400000000002,15.882999999999999,25.617000000000001,74.712000000000003,20.826000000000001,77.977999999999994,78.194999999999993,61.444000000000003,39.814999999999998,560.62400000000002,15.882999999999999,25.617000000000001,74.712000000000003,20.826000000000001
C,15,Leder und Lederwaren,67.39,50.198,78.478999999999999,116.45099999999999,108.378,62.552,62.289000000000001,112.989,62.930999999999997,67.39,50.198,78.478999999999999,116.45099999999999,108.378,62.552,62.289000000000001,112.989,62.930999999999997
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,137.81200000000001,11.929,16.702999999999999,16.861999999999998,16.298999999999999,26.446999999999999,4.1189999999999998,6.5670000000000002,25.783999999999999,137.81200000000001,11.929,16.702999999999999,16.861999999999998,16.298999999999999,26.446999999999999,4.1189999999999998,6.5670000000000002,25.783999999999999
C,17,"Papier, Pappe und Waren daraus",190.97900000000001,178.864,185.11699999999999,208.566,133.60900000000001,284.69,573.68700000000001,296.63299999999998,287.536,190.97900000000001,178.864,185.11699999999999,208.566,133.60900000000001,284.69,573.68700000000001,296.63299999999998,287.536
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,17.943000000000001,4.7300000000000004,4.883,5.5019999999999998,6.5439999999999996,6.8419999999999996,5.3769999999999998,0,694.36199999999997,17.943000000000001,4.7300000000000004,4.883,5.5019999999999998,6.5439999999999996,6.8419999999999996,5.3769999999999998,0,694.36199999999997
C,20,Chemische Erzeugnisse,45320.544000000002,45400.86,49024.254000000001,45946.764000000003,39931.394999999997,42042.385000000002,45070.356,50322.256999999998,56115.224999999999,45320.544000000002,45400.86,49024.254000000001,45946.764000000003,39931.394999999997,42042.385000000002,45070.356,50322.256999999998,56115.224999999999
C,21,Pharmazeutische Erzeugnisse,2062.873,2272.7669999999998,2632.221,2404.4989999999998,1689.7829999999999,2551.3220000000001,2436.8679999999999,2064.4290000000001,2232.5100000000002,2062.873,2272.7669999999998,2632.221,2404.4989999999998,1689.7829999999999,2551.3220000000001,2436.8679999999999,2064.4290000000001,2232.5100000000002
C,22,Gummi- und Kunststoffwaren,2545.0250000000001,2240.415,2848.7280000000001,2596.7600000000002,1702.3109999999999,2088.7800000000002,1984.355,1838.787,2268.761,2545.0250000000001,2240.415,2848.7280000000001,2596.7600000000002,1702.3109999999999,2088.7800000000002,1984.355,1838.787,2268.761
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",868.226,601.41899999999998,602.47799999999995,942.16099999999994,884.09500000000003,835.72199999999998,695.45899999999995,537.66,896.56299999999999,868.226,601.41899999999998,602.47799999999995,942.16099999999994,884.09500000000003,835.72199999999998,695.45899999999995,537.66,896.56299999999999
C,24,Metalle,273.423,860.35299999999995,504.07400000000001,399.89699999999999,526.52099999999996,504.85300000000001,539.27,388.69299999999998,604.16499999999996,18005.569,33325.978000000003,16222.901,12000.031000000001,20919.418000000001,12774.704,22364.396000000001,25912.467000000001,44425.413
C,25,Metallerzeugnisse,5577.3339999999998,7058.6469999999999,2003.4459999999999,2474.3420000000001,4565.4880000000003,5446.0150000000003,2237.4160000000002,2262.6860000000001,2155.5140000000001,5577.3339999999998,7058.6469999999999,2003.4459999999999,2474.3420000000001,4565.4880000000003,5446.0150000000003,2237.4160000000002,2262.6860000000001,2155.5140000000001
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",74020.375,54992.885999999999,23315.156999999999,29953.131000000001,29054.579000000002,23041.208999999999,24805.710999999999,32251.077000000001,15247.545,74020.375,54992.885999999999,23315.156999999999,29953.131000000001,29054.579000000002,23041.208999999999,24805.710999999999,32251.077000000001,15247.545
C,27,Elektrische Ausrüstungen,17330.192999999999,16500.601999999999,20570.249,15854.468000000001,12455.22,14359.239,14740.61,13846.888000000001,22131.282999999999,17330.192999999999,16500.601999999999,20570.249,15854.468000000001,12455.22,14359.239,14740.61,13846.888000000001,22131.282999999999
C,28,Maschinen,55779.305,48376.042999999998,50566.506999999998,43789.548000000003,23494.884999999998,35498.144,27152.965,44033.292999999998,46357.256000000001,55779.305,48376.042999999998,50566.506999999998,43789.548000000003,23494.884999999998,35498.144,27152.965,44033.292999999998,46357.256000000001
C,29,Kraftwagen und Kraftwagenteile,24440.628000000001,24286.97,21354.636999999999,21585.069,15587.548000000001,16899.677,13082.422,9287.3080000000009,7914.3980000000001,24440.628000000001,24286.97,21354.636999999999,21585.069,15587.548000000001,16899.677,13082.422,9287.3080000000009,7914.3980000000001
C,30,Sonstige Fahrzeuge,13918.293,12250.569,6769.9740000000002,19493.734,4999.1369999999997,2715.3009999999999,784.322,1429.3910000000001,915.399,13918.293,12250.569,6769.9740000000002,19493.734,4999.1369999999997,2715.3009999999999,784.322,1429.3910000000001,915.399
C,31,Möbel,439.255,138.41399999999999,131.684,155.10599999999999,91.192999999999998,72.177999999999997,91.888999999999996,70.477000000000004,120.253,439.255,138.41399999999999,131.684,155.10599999999999,91.192999999999998,72.177999999999997,91.888999999999996,70.477000000000004,120.253
