exporte_in_die_eu27_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,7321.1049999999996,8645.4369999999999,9625.4599999999991,7394.415,7535.3519999999999,15230.118,10962.460999999999,13907.611999999999,16965.918000000001,7321.1049999999996,8645.4369999999999,9625.4599999999991,7394.415,7535.3519999999999,15230.118,10962.460999999999,13907.611999999999,16965.918000000001
A,2,Forstwirtschaftliche Erzeugnisse und Dienstleistungen,1497.126,1803.3579999999999,4175.5919999999996,2705.7739999999999,2058.2359999999999,2853.4749999999999,2829.6410000000001,3366.674,2689.7860000000001,1497.126,1803.3579999999999,4175.5919999999996,2705.7739999999999,2058.2359999999999,2853.4749999999999,2829.6410000000001,3366.674,2689.7860000000001
A,3,Fische und Fischereierzeugnisse; Aquakulturerzeugnisse; Dienstleistungen für die Fischerei,7.2290000000000001,18.79,0,0,13.49,125.98099999999999,26.123999999999999,54.526000000000003,19.530999999999999,55.332000000000001,21.529,0,0,74.454999999999998,137.41900000000001,63.033999999999999,68.816000000000003,19.940000000000001
B,6,Erdöl und Erdgas,134.602,0,0,0,0,0,0,0,0,134.602,0,0,0,0,0,0,0,0
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,1159.059,1354.8969999999999,1689.521,2080.4569999999999,1908.557,2196.98,1655.87,1848.9449999999999,1492.0840000000001,1165.3050000000001,1476.2170000000001,1690.721,2215.9810000000002,1910.3969999999999,2252.0949999999998,1786.32,1860.2809999999999,1500.2850000000001
C,10,Nahrungs- und Futtermittel,332783.90899999999,425316.64199999999,495589.37300000002,487155.22100000002,408271.75,437696.83899999998,502837.78200000001,571260.93500000006,637154.37699999998,332783.90899999999,425316.64199999999,495589.37300000002,487155.22100000002,408271.75,437696.83899999998,502837.78200000001,571260.93500000006,637154.37699999998
C,11,Getränke,5699.0060000000003,5336.009,6897.1890000000003,5018.3149999999996,4719.4080000000004,4329.4809999999998,7070.22,6818.3729999999996,5312.415,5699.0060000000003,5336.009,6897.1890000000003,5018.3149999999996,4719.4080000000004,4329.4809999999998,7070.22,6818.3729999999996,5312.415
C,13,Textilien,92333.042000000001,78842.380999999994,71695.156000000003,67953.192999999999,61398.506999999998,66741.532000000007,62554.1,66735.983999999997,64620.790999999997,92333.042000000001,78842.380999999994,71695.156000000003,67953.192999999999,61398.506999999998,66741.532000000007,62554.1,66735.983999999997,64620.790999999997
C,14,Bekleidung,291689.826,302147.99900000001,345806.00199999998,371756.63900000002,379308.87400000001,419080.22399999999,491175.63,521795.31800000003,454366.18,291689.826,302147.99900000001,345806.00199999998,371756.63900000002,379308.87400000001,419080.22399999999,491175.63,521795.31800000003,454366.18
C,15,Leder und Lederwaren,49892.205000000002,49515.33,56686.264999999999,58357.809000000001,54618.792999999998,65102.953000000001,74746.354000000007,81597.899000000005,79705.816000000006,49892.205000000002,49515.33,56686.264999999999,58357.809000000001,54618.792999999998,65102.953000000001,74746.354000000007,81597.899000000005,79705.816000000006
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,13416.922,11187.554,12356.120999999999,12244.503000000001,11212.976000000001,13264.09,12064.731,14563.163,11788.574000000001,13416.922,11187.554,12356.120999999999,12244.503000000001,11212.976000000001,13264.09,12064.731,14563.163,11788.574000000001
C,17,"Papier, Pappe und Waren daraus",23131.777999999998,43604.851000000002,22642.694,25041.967000000001,15837.757,18398.144,27478.862000000001,13832.556,13910.752,23131.777999999998,43604.851000000002,22642.694,25041.967000000001,15837.757,18398.144,27478.862000000001,13832.556,13910.752
C,18,"Druckereileistungen und Dienstleistungen der Vervielfältigung bespielter Ton-, Bild- und Datenträger",3845.3490000000002,3749.915,4046.5720000000001,3536.377,3260.5050000000001,3155.634,3093.701,2555.6640000000002,2327.2359999999999,3845.3490000000002,3749.915,4046.5720000000001,3536.377,3260.5050000000001,3155.634,3093.701,2555.6640000000002,2327.2359999999999
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,15241.31,18543.296999999999,19179.199000000001,14988.071,7236.3649999999998,6138.6059999999998,16609.29,15863.213,13993.682000000001,15241.31,18543.296999999999,19179.199000000001,14988.071,7236.3649999999998,6138.6059999999998,16609.29,15863.213,13993.682000000001
C,20,Chemische Erzeugnisse,720939.39399999997,712713.91099999996,707856.43700000003,702749.82700000005,684186.66,718095.43599999999,809198.84400000004,792515.65399999998,838571.49,720947.32799999998,712837.57299999997,708067.19799999997,702811.21200000006,684275.14599999995,718164.31700000004,809363.97,792789.64500000002,838883.495
C,21,Pharmazeutische Erzeugnisse,84242.377999999997,76846.044999999998,89592.062000000005,82698.592999999993,62753.419000000002,88049.26,72344.168999999994,74872.343999999997,76820.53,84242.377999999997,76846.044999999998,89592.062000000005,82698.592999999993,62753.419000000002,88049.26,72344.168999999994,74872.343999999997,76820.53
C,22,Gummi- und Kunststoffwaren,309748.049,304679.59999999998,330449.00300000003,304228.95500000002,264378.96500000003,313695.02600000001,329660.08600000001,310891.88099999999,291546.07699999999,309748.049,304679.59999999998,330449.00300000003,304228.95500000002,264378.96500000003,313695.02600000001,329660.08600000001,310891.88099999999,291546.07699999999
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",64609.858,65582.417000000001,74479.822,73124.990000000005,54811.262000000002,67114.513000000006,69987.921000000002,61654.190999999999,58261.705000000002,64609.858,65582.417000000001,74479.822,73124.990000000005,54811.262000000002,67114.513000000006,69987.921000000002,61654.190999999999,58261.705000000002
C,24,Metalle,78772.413,90196.145000000004,91723.447,86572.063999999998,72830.706000000006,78009.959000000003,93371.922000000006,79424.145000000004,78476.327000000005,543807.74399999995,371906.45799999998,347512.09899999999,1807938.817,698086.14599999995,565192.74699999997,910543.16500000004,743528.03099999996,730813.66500000004
C,25,Metallerzeugnisse,375947.94500000001,369283.91100000002,426017.77899999998,402768.46,373829.087,422547.27600000001,432051.10600000003,422792.30300000001,421335.67499999999,375947.94500000001,369283.91100000002,426017.77899999998,402768.46,373829.087,422547.27600000001,432051.10600000003,422792.30300000001,421335.67499999999
