exporte_pro_region_mio_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
Mio. CHF,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
EU27,7283.6825250000002,7626.9136580000004,7880.1438840000001,8155.3969219999999,6745.4488579999997,8185.2875400000003,9004.726498,8997.6614289999998,8588.9856500000005,7952.1275939999996,8047.727664,8720.8934160000008,10067.081125999999,7506.8318929999996,8842.6777719999991,10003.884255999999,9808.8094039999996,9333.1635380000007
Asien,3103.0668190000001,3177.9232029999998,3000.1296120000002,3037.2281579999999,2953.5291179999999,2875.8176400000002,3577.6448460000001,3241.4152949999998,3464.4653629999998,6954.6848669999999,8352.5891179999999,8826.8754320000007,5232.9133879999999,5955.2409010000001,9557.1568019999995,13445.594515999999,11264.651237,10900.255031000001
US,1254.101026,1677.210603,1868.6948540000001,1791.5295390000001,1571.0093919999999,1845.723037,2220.0512279999998,1967.078632,2327.1721240000002,1769.375174,1941.1826779999999,2125.5397250000001,1982.1301779999999,2002.920192,2345.2740010000002,2927.2200849999999,2280.7730879999999,3236.3463539999998
Übriges Europa,950.83410600000002,975.36394700000005,1020.255973,922.19932300000005,873.82039399999996,913.81245999999999,800.11648000000002,851.48578499999996,816.34597199999996,6675.0556130000004,3614.2418670000002,1645.785007,9655.8933359999992,6074.6099270000004,4190.0586960000001,3548.8991649999998,2883.6961070000002,5153.564104
Übriges Amerika,477.530462,441.94205099999999,415.30444399999999,357.087309,371.11093599999998,387.97131899999999,476.44095399999998,431.98609599999997,382.82001400000001,515.176466,473.66357499999998,419.51268800000003,366.09605199999999,379.26500800000002,391.43078700000001,547.87364700000001,436.79741300000001,394.93177700000001
Afrika,259.36085300000002,233.33945700000001,204.82791499999999,215.85056299999999,157.50161600000001,160.87349,151.88353900000001,174.93273099999999,174.74965599999999,278.79880300000002,268.84079700000001,220.66558499999999,227.81171900000001,178.24748099999999,173.717747,173.884804,200.47376499999999,218.89299199999999
Ozeanien,162.67907,145.751632,151.10530499999999,176.60220000000001,128.15966700000001,130.43860900000001,143.603534,129.453655,122.07983,164.588595,148.389802,154.21888899999999,178.090373,130.05294000000001,132.46453500000001,152.25172800000001,131.13170700000001,124.81091600000001
Total,13491.254860999999,14278.444551000001,14540.461987000001,14655.894014,12800.579981000001,14499.924095,16374.467079,15794.013623000001,15876.618608999999,24309.807111999999,22846.635501000001,22113.490742000002,27710.016172,22227.168342000001,25632.780340000001,30799.608200999999,27006.332720999999,29361.964712000001
