exporte_nach_usa_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,2687.6350000000002,1349.8420000000001,83.313999999999993,0,263.27499999999998,308.72500000000002,0,222.012,318.73899999999998,2687.6350000000002,1349.8420000000001,83.313999999999993,0,263.27499999999998,308.72500000000002,0,222.012,318.73899999999998
B,8,Steine und Erden; sonstige Bergbauerzeugnisse,0,28.774999999999999,0,0,0,0,0,4.9560000000000004,0,0,110.05500000000001,0,0,0,0,0,52.155999999999999,0
C,10,Nahrungs- und Futtermittel,39816.313000000002,39894.716999999997,44717.976000000002,46497.228000000003,40974.627999999997,45404.103000000003,47347.544000000002,51414.245000000003,60207.741999999998,39816.313000000002,39894.716999999997,44717.976000000002,46497.228000000003,40974.627999999997,45404.103000000003,47347.544000000002,51414.245000000003,60207.741999999998
C,11,Getränke,215.47800000000001,130.64599999999999,613.26599999999996,293.05500000000001,0,272.54700000000003,622.23699999999997,0,72.204999999999998,215.47800000000001,130.64599999999999,613.26599999999996,293.05500000000001,0,272.54700000000003,622.23699999999997,0,72.204999999999998
C,13,Textilien,3039.1080000000002,3794.5729999999999,2331.96,1378.2059999999999,1760.923,2302.799,2056.1030000000001,1483.402,1743.3510000000001,3039.1080000000002,3794.5729999999999,2331.96,1378.2059999999999,1760.923,2302.799,2056.1030000000001,1483.402,1743.3510000000001
C,14,Bekleidung,1496.2329999999999,1387.643,1336.748,1327.4559999999999,1342.5719999999999,1511.9649999999999,2306.3809999999999,1610.817,1608.2429999999999,1496.2329999999999,1387.643,1336.748,1327.4559999999999,1342.5719999999999,1511.9649999999999,2306.3809999999999,1610.817,1608.2429999999999
C,15,Leder und Lederwaren,1791.809,2550.7739999999999,2667.9670000000001,2426.5340000000001,2108.5250000000001,1992.5219999999999,2496.3989999999999,2158.3040000000001,1530.2429999999999,1791.809,2550.7739999999999,2667.9670000000001,2426.5340000000001,2108.5250000000001,1992.5219999999999,2496.3989999999999,2158.3040000000001,1530.2429999999999
C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,260.221,425.53800000000001,181.495,181.34,176.535,151.102,270.33100000000002,226.64599999999999,151.25899999999999,260.221,425.53800000000001,181.495,181.34,176.535,151.102,270.33100000000002,226.64599999999999,151.25899999999999
C,17,"Papier, Pappe und Waren daraus",999.08299999999997,1031.865,657.51300000000003,732.89499999999998,662.08900000000006,655.03800000000001,657.40200000000004,706.87,633.03800000000001,999.08299999999997,1031.865,657.51300000000003,732.89499999999998,662.08900000000006,655.03800000000001,657.40200000000004,706.87,633.03800000000001
C,19,Kokereierzeugnisse und Mineralölerzeugnisse,1633.7470000000001,2462.7739999999999,3845.056,3084.51,1691.8040000000001,2975.5309999999999,6100.4430000000002,20642.248,22765.100999999999,1633.7470000000001,2462.7739999999999,3845.056,3084.51,1691.8040000000001,2975.5309999999999,6100.4430000000002,20642.248,22765.100999999999
C,20,Chemische Erzeugnisse,90243.406000000003,72115.828999999998,69776.975999999995,62995.91,66206.688999999998,70673.038,70451.115999999995,55571.366999999998,70190.816000000006,90497.457999999999,72389.034,70091.876999999993,63270.078000000001,66486.062000000005,70989.296000000002,70825.664999999994,56011.98,70626.986999999994
C,21,Pharmazeutische Erzeugnisse,10198.290000000001,22853.609,33508.044999999998,47029.021000000001,48510.404000000002,61964.724999999999,83663.756999999998,93372.937999999995,95741.55,10198.290000000001,22853.609,33508.044999999998,47029.021000000001,48510.404000000002,61964.724999999999,83663.756999999998,93372.937999999995,95741.55
C,22,Gummi- und Kunststoffwaren,17255.008999999998,15757.22,17146.396000000001,16583.221000000001,16663.490000000002,20649.687000000002,23300.105,19995.23,19599.761999999999,17255.008999999998,15757.22,17146.396000000001,16583.221000000001,16663.490000000002,20649.687000000002,23300.105,19995.23,19599.761999999999
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",9777.0640000000003,12002.298000000001,14682.424000000001,13131.227999999999,13710.989,13632.022000000001,16023.01,23489.93,21486.919000000002,9777.0640000000003,12002.298000000001,14682.424000000001,13131.227999999999,13710.989,13632.022000000001,16023.01,23489.93,21486.919000000002
C,24,Metalle,1855.702,2039.7049999999999,2406.8470000000002,2408.5650000000001,1416.13,1700.5619999999999,1784.806,2762.0340000000001,2298.7939999999999,236568.432,57174.076000000001,101961.049,82173.952999999994,334509.326,327295.49300000002,464349.66,104627.034,787538.99399999995
C,25,Metallerzeugnisse,33638.798000000003,34936.017999999996,35284.279000000002,38847.222000000002,37278.347999999998,42800.572999999997,54138.345999999998,57386.523000000001,54423.542999999998,33638.798000000003,34936.017999999996,35284.279000000002,38847.222000000002,37278.347999999998,42800.572999999997,54138.345999999998,57386.523000000001,54423.542999999998
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",353255.30599999998,336991.76799999998,347982.283,464684.54599999997,390374.86300000001,514092.10600000003,653130.12899999996,638042.71200000006,637041.67799999996,353255.30599999998,336991.76799999998,347982.283,464684.54599999997,390374.86300000001,514092.10600000003,653130.12899999996,638042.71200000006,637041.67799999996
C,27,Elektrische Ausrüstungen,102937.054,126350.177,123634.80100000001,136646.79399999999,127307.965,167108.402,165444.48000000001,176507.133,211929.49100000001,102937.054,126350.177,123634.80100000001,136646.79399999999,127307.965,167108.402,165444.48000000001,176507.133,211929.49100000001
C,28,Maschinen,322540.66800000001,352916.81599999999,319626.68599999999,302999.696,329103.47200000001,370101.984,382733.54599999997,357933.78600000002,391828.57299999997,322540.66800000001,352916.81599999999,319626.68599999999,302999.696,329103.47200000001,370101.984,382733.54599999997,357933.78600000002,391828.57299999997
C,29,Kraftwagen und Kraftwagenteile,2470.4960000000001,2463.9499999999998,6641.0540000000001,10793.401,3602.7620000000002,1449.1410000000001,1984.018,4921.2709999999997,4802.2610000000004,2470.4960000000001,2463.9499999999998,6641.0540000000001,10793.401,3602.7620000000002,1449.1410000000001,1984.018,4921.2709999999997,4802.2610000000004
