Trade_Type,Year,Continent,Country,Industry,Total_Amount_CHF
Export,2016,Africa,Algeria,Chemical Products,1331186
Export,2016,Africa,Algeria,Metal Products,54227
Export,2016,Africa,Algeria,Electronic and Optical Products,4452675
Export,2016,Africa,Algeria,Electrical Equipment,1191826
Export,2016,Africa,Algeria,Machinery,18799921
Export,2016,Africa,Algeria,Dienstleistungen des Verlagswesens,1560
Export,2016,Africa,Algeria,Various other categories,8170518
Export,2016,Africa,Angola,Various other categories,966332
Export,2016,Africa,Benin,Various other categories,1991039
Export,2016,Africa,Burkina Faso,Various other categories,78488
Export,2016,Africa,Cape Verde,Various other categories,18134
Export,2016,Africa,Côte d’Ivoire,Chemical Products,3303984
Export,2016,Africa,Côte d’Ivoire,Electronic and Optical Products,21841
Export,2016,Africa,Côte d’Ivoire,Machinery,869521
Export,2016,Africa,Côte d’Ivoire,Various other categories,2060007
Export,2016,Africa,Djibouti,Various other categories,116063
Export,2016,Africa,Eritrea,Various other categories,136682
Export,2016,Africa,Gabon,Various other categories,125680
Export,2016,Africa,Gambia,Various other categories,111102
Export,2016,Africa,Ghana,Electronic and Optical Products,102463
Export,2016,Africa,Ghana,Various other categories,2119822
Export,2016,Africa,Guinea,Various other categories,421000
Export,2016,Africa,Cameroon,Rubber and Plastic,18666
Export,2016,Africa,Cameroon,Electronic and Optical Products,65294
Export,2016,Africa,Cameroon,Various other categories,1016429
Export,2016,Africa,Kenya,Chemical Products,1961571
Export,2016,Africa,Kenya,Electronic and Optical Products,378775
Export,2016,Africa,Kenya,Machinery,382704
Export,2016,Africa,Kenya,Various other categories,539985
Export,2016,Africa,Congo - Brazzaville,Various other categories,520948
Export,2016,Africa,Congo - Kinshasa,Various other categories,770140
Export,2016,Africa,Liberia,Various other categories,909385
Export,2016,Africa,Libya,Various other categories,7917426
Export,2016,Africa,Madagascar,Various other categories,370639
Export,2016,Africa,Mali,Various other categories,95755
Export,2016,Africa,Morocco,Food and Feed,524273
Export,2016,Africa,Morocco,"Papier, Pappe und Waren daraus",20675
Export,2016,Africa,Morocco,Chemical Products,2342843
Export,2016,Africa,Morocco,Rubber and Plastic,171360
Export,2016,Africa,Morocco,Metal Products,74138
Export,2016,Africa,Morocco,Electronic and Optical Products,1624238
Export,2016,Africa,Morocco,Electrical Equipment,1195522
Export,2016,Africa,Morocco,Machinery,1388390
Export,2016,Africa,Morocco,Other manufactured goods,170683
Export,2016,Africa,Morocco,Dienstleistungen des Verlagswesens,53280
Export,2016,Africa,Morocco,Various other categories,1305421
Export,2016,Africa,Mauritania,Various other categories,14883
Export,2016,Africa,Mauritius,Rubber and Plastic,104438
Export,2016,Africa,Mauritius,Metal Products,23282
Export,2016,Africa,Mauritius,Electronic and Optical Products,161150
Export,2016,Africa,Mauritius,Electrical Equipment,113934
Export,2016,Africa,Mauritius,Machinery,870633
Export,2016,Africa,Mauritius,Other manufactured goods,1674944
Export,2016,Africa,Mauritius,Various other categories,1272041
Export,2016,Africa,Mozambique,Various other categories,1738615
Export,2016,Africa,Namibia,Various other categories,115308
Export,2016,Africa,Niger,Various other categories,4611555
Export,2016,Africa,Nigeria,Chemical Products,2604234
Export,2016,Africa,Nigeria,Rubber and Plastic,115129
Export,2016,Africa,Nigeria,Metal Products,49889
Export,2016,Africa,Nigeria,Electronic and Optical Products,231725
Export,2016,Africa,Nigeria,Electrical Equipment,525864
Export,2016,Africa,Nigeria,Machinery,1712952
Export,2016,Africa,Nigeria,Kraftwagen und Kraftwagenteile,1922880
Export,2016,Africa,Nigeria,Sonstige Fahrzeuge,67593
Export,2016,Africa,Nigeria,Dienstleistungen des Verlagswesens,2295
Export,2016,Africa,Nigeria,Various other categories,493988
Export,2016,Africa,Réunion,Various other categories,245612
Export,2016,Africa,Rwanda,Various other categories,45709
Export,2016,Africa,Zambia,Various other categories,475814
Export,2016,Africa,Senegal,Electronic and Optical Products,44412
Export,2016,Africa,Senegal,Various other categories,1647943
Export,2016,Africa,Seychelles,Various other categories,131552
Export,2016,Africa,Sierra Leone,Various other categories,254698
Export,2016,Africa,Zimbabwe,Various other categories,621059
Export,2016,Africa,Sudan,Various other categories,1110767
Export,2016,Africa,South Africa,Food and Feed,3798250
Export,2016,Africa,South Africa,Textiles,59266
Export,2016,Africa,South Africa,Leder und Lederwaren,10572
Export,2016,Africa,South Africa,"Papier, Pappe und Waren daraus",39250
Export,2016,Africa,South Africa,Chemical Products,14432668
Export,2016,Africa,South Africa,Pharmaceutical Products,126038
Export,2016,Africa,South Africa,Rubber and Plastic,561068
Export,2016,Africa,South Africa,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",208204
Export,2016,Africa,South Africa,Metals,83428
Export,2016,Africa,South Africa,Metal Products,3164522
Export,2016,Africa,South Africa,Electronic and Optical Products,56971422
Export,2016,Africa,South Africa,Electrical Equipment,4981722
Export,2016,Africa,South Africa,Machinery,9088252
Export,2016,Africa,South Africa,Sonstige Fahrzeuge,9870836
Export,2016,Africa,South Africa,Other manufactured goods,1060498
Export,2016,Africa,South Africa,Dienstleistungen des Verlagswesens,30667
Export,2016,Africa,South Africa,Various other categories,1180172
Export,2016,Africa,South Sudan,Various other categories,25320
Export,2016,Africa,Tanzania,Electronic and Optical Products,29324
Export,2016,Africa,Tanzania,Various other categories,1064924
Export,2016,Africa,Togo,Kraftwagen und Kraftwagenteile,6690910
Export,2016,Africa,Togo,Various other categories,442048
Export,2016,Africa,Tunisia,Textiles,260184
Export,2016,Africa,Tunisia,Chemical Products,2680335
Export,2016,Africa,Tunisia,Rubber and Plastic,918419
Export,2016,Africa,Tunisia,Metal Products,188364
Export,2016,Africa,Tunisia,Electronic and Optical Products,1201073
Export,2016,Africa,Tunisia,Electrical Equipment,3578982
Export,2016,Africa,Tunisia,Machinery,1811296
Export,2016,Africa,Tunisia,Dienstleistungen des Verlagswesens,27735
Export,2016,Africa,Tunisia,Various other categories,13966567
Export,2016,Africa,Uganda,Various other categories,465628
Export,2016,Africa,NA,Various other categories,1373912
Export,2016,Africa,Egypt,Food and Feed,837889
Export,2016,Africa,Egypt,Chemical Products,8958539
Export,2016,Africa,Egypt,Rubber and Plastic,269578
Export,2016,Africa,Egypt,Metal Products,253239
Export,2016,Africa,Egypt,Electronic and Optical Products,4565236
Export,2016,Africa,Egypt,Electrical Equipment,2041235
Export,2016,Africa,Egypt,Machinery,15894728
Export,2016,Africa,Egypt,Other manufactured goods,302052
Export,2016,Africa,Egypt,Dienstleistungen des Verlagswesens,22327
Export,2016,Africa,Egypt,Various other categories,1375394
Export,2016,Africa,Equatorial Guinea,Various other categories,83725
Export,2016,Africa,Ethiopia,Electronic and Optical Products,2956884
Export,2016,Africa,Ethiopia,Machinery,1386846
Export,2016,Africa,Ethiopia,Various other categories,6191766
Export,2016,Americas,United States,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,2687635
Export,2016,Americas,United States,Food and Feed,39816313
Export,2016,Americas,United States,Getränke,215478
Export,2016,Americas,United States,Textiles,3039108
Export,2016,Americas,United States,Apparel,1496233
Export,2016,Americas,United States,Leder und Lederwaren,1791809
Export,2016,Americas,United States,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,260221
Export,2016,Americas,United States,"Papier, Pappe und Waren daraus",999083
Export,2016,Americas,United States,Kokereierzeugnisse und Mineralölerzeugnisse,1633747
Export,2016,Americas,United States,Chemical Products,90497458
Export,2016,Americas,United States,Pharmaceutical Products,10198290
