importe_aus_ozeanien_tsd_chf,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
Bundesamt für Zoll und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA,"Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten",NA,NA,NA,NA,NA,NA,NA,NA
CPA Section,CPA Devision Code,CPA Devision,Total 1 2016,Total 1 2017,Total 1 2018,Total 1 2019,Total 1 2020,Total 1 2021,Total 1 2022,Total 1 2023,Total 1 2024,Total 2 2016,Total 2 2017,Total 2 2018,Total 2 2019,Total 2 2020,Total 2 2021,Total 2 2022,Total 2 2023,Total 2 2024
A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,2774.1750000000002,2525.4879999999998,3106.645,2551.268,2873.0839999999998,4438.5010000000002,3453.9169999999999,2183.5650000000001,3749.6869999999999,2774.1750000000002,2525.4879999999998,3106.645,2551.268,2873.0839999999998,4438.5010000000002,3453.9169999999999,2183.5650000000001,3749.6869999999999
C,10,Nahrungs- und Futtermittel,9090.6949999999997,7356.88,9193.1190000000006,9813.8610000000008,4261.3090000000002,6271.11,5659.5619999999999,4989.2489999999998,4203.1360000000004,9090.6949999999997,7356.88,9193.1190000000006,9813.8610000000008,4261.3090000000002,6271.11,5659.5619999999999,4989.2489999999998,4203.1360000000004
C,11,Getränke,2122.4960000000001,1931.2249999999999,2004.204,1976.01,1432.1790000000001,2041.41,1610.8520000000001,1351.3109999999999,2183.8609999999999,2122.4960000000001,1931.2249999999999,2004.204,1976.01,1432.1790000000001,2041.41,1610.8520000000001,1351.3109999999999,2183.8609999999999
C,13,Textilien,71.992999999999995,90.552000000000007,113.29300000000001,61.558999999999997,62.981999999999999,91.983000000000004,51.951000000000001,55.557000000000002,84.822999999999993,71.992999999999995,90.552000000000007,113.29300000000001,61.558999999999997,62.981999999999999,91.983000000000004,51.951000000000001,55.557000000000002,84.822999999999993
C,14,Bekleidung,154.702,155.744,158.43700000000001,187.58799999999999,179.40600000000001,187.631,227.036,187.303,159.28399999999999,154.702,155.744,158.43700000000001,187.58799999999999,179.40600000000001,187.631,227.036,187.303,159.28399999999999
C,15,Leder und Lederwaren,43.822000000000003,78.430000000000007,68.745000000000005,70.962000000000003,103.047,110.223,153.58099999999999,101.334,52.7,43.822000000000003,78.430000000000007,68.745000000000005,70.962000000000003,103.047,110.223,153.58099999999999,101.334,52.7
C,17,"Papier, Pappe und Waren daraus",15.702,39.808,7.665,18.256,5.5880000000000001,61.875999999999998,36.598999999999997,8.2530000000000001,9.5559999999999992,15.702,39.808,7.665,18.256,5.5880000000000001,61.875999999999998,36.598999999999997,8.2530000000000001,9.5559999999999992
C,20,Chemische Erzeugnisse,1475.7850000000001,2389.433,3938.808,2632.5590000000002,2085.125,3250.328,4151.2349999999997,3672.8530000000001,3587.7240000000002,1475.7850000000001,2389.433,3938.808,2632.5590000000002,2085.125,3250.328,4151.2349999999997,3672.8530000000001,3587.7240000000002
C,21,Pharmazeutische Erzeugnisse,1925.768,8787.9719999999998,2564.145,2150.3389999999999,1991.748,1781.135,2033.07,1993.5360000000001,696.44799999999998,1925.768,8787.9719999999998,2564.145,2150.3389999999999,1991.748,1781.135,2033.07,1993.5360000000001,696.44799999999998
C,22,Gummi- und Kunststoffwaren,131.178,383.28100000000001,1534.3630000000001,5793.5349999999999,843.29399999999998,1097.675,703.66499999999996,693.09199999999998,1930.85,131.178,383.28100000000001,1534.3630000000001,5793.5349999999999,843.29399999999998,1097.675,703.66499999999996,693.09199999999998,1930.85
C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",157.61199999999999,109.283,80.332999999999998,67.805999999999997,98.152000000000001,81.626000000000005,212.92500000000001,73.503,27.241,157.61199999999999,109.283,80.332999999999998,67.805999999999997,98.152000000000001,81.626000000000005,212.92500000000001,73.503,27.241
C,24,Metalle,28.041,16.675999999999998,585.32399999999996,0,6.2549999999999999,4.3879999999999999,19.914999999999999,32.982999999999997,18.308,2396.5940000000001,60644.737000000001,668.75199999999995,0,274347.36499999999,17.416,602075.00899999996,1733918.0179999999,2056637.2949999999
C,25,Metallerzeugnisse,125.822,107.848,136.56,183.08199999999999,262.625,301.81,603.02499999999998,332.351,287.36099999999999,125.822,107.848,136.56,183.08199999999999,262.625,301.81,603.02499999999998,332.351,287.36099999999999
C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",2021.855,2278.6869999999999,1320.2550000000001,1824.3989999999999,1748.6420000000001,2181.5120000000002,3127.3310000000001,2733.7489999999998,2680.2440000000001,2021.855,2278.6869999999999,1320.2550000000001,1824.3989999999999,1748.6420000000001,2181.5120000000002,3127.3310000000001,2733.7489999999998,2680.2440000000001
C,27,Elektrische Ausrüstungen,577.721,522.27300000000002,561.85,860.18200000000002,641.02200000000005,551.60900000000004,891.52599999999995,704.10199999999998,609.92999999999995,577.721,522.27300000000002,561.85,860.18200000000002,641.02200000000005,551.60900000000004,891.52599999999995,704.10199999999998,609.92999999999995
C,28,Maschinen,1614.673,1557.0419999999999,1678.0319999999999,875.06600000000003,835.56500000000005,973.71299999999997,1304.99,2772.0770000000002,902.88699999999994,1614.673,1557.0419999999999,1678.0319999999999,875.06600000000003,835.56500000000005,973.71299999999997,1304.99,2772.0770000000002,902.88699999999994
C,29,Kraftwagen und Kraftwagenteile,607.85500000000002,1011.45,1435.3130000000001,1490.4469999999999,999.57100000000003,645.93799999999999,1678.5,1390.258,2436.625,607.85500000000002,1011.45,1435.3130000000001,1490.4469999999999,999.57100000000003,645.93799999999999,1678.5,1390.258,2436.625
C,30,Sonstige Fahrzeuge,278.25599999999997,973.87800000000004,546.50300000000004,132.61500000000001,62.277000000000001,148.18100000000001,64.27,287.73700000000002,630.29,278.25599999999997,973.87800000000004,546.50300000000004,132.61500000000001,62.277000000000001,148.18100000000001,64.27,287.73700000000002,630.29
C,31,Möbel,0,0,25.587,39.265000000000001,0,0,41.753,0,0,0,0,25.587,39.265000000000001,0,0,41.753,0,0
C,32,"Waren, a.n.g.",906.65,756.72799999999995,446.57900000000001,625.702,334.65699999999998,1554.223,638.14800000000002,677.13699999999994,725.952,2625.7150000000001,1366.6420000000001,752.28,1084.6669999999999,545.94899999999996,2824.9989999999998,1863.566,1847.749,2803.4839999999999
J,58,Dienstleistungen des Verlagswesens,37.009,30.388000000000002,19.759,874.63,17.875,24.369,28.747,54.072000000000003,49.087000000000003,37.009,30.388000000000002,19.759,874.63,17.875,24.369,28.747,54.072000000000003,49.087000000000003
R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,0,0,0,0,0,0,0,0,116.786,0,0,0,0,0,0,0,0
