exporte_und_importe_pro_land_und_guterkategorie,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
Bundesamt für Zoll- und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten. Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten. Einige Güterkategorien und Länder sind aus Gründen des Datenschutzes zusammengefasst. Die Sammelkategorien sind so gebildet, dass die Ländertotale korrekt sind.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vk,jahr,continent_desc,region,lnd_iso2,lnd_desc,cpa_section,cpa2,cpa2_desc,tot1_chf,tot2_chf
EXP,2016,Afrika,Afrika,DZ,Algerien,C,20,Chemische Erzeugnisse,1331186,1331186
EXP,2016,Afrika,Afrika,DZ,Algerien,C,25,Metallerzeugnisse,54227,54227
EXP,2016,Afrika,Afrika,DZ,Algerien,C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",4452675,4452675
EXP,2016,Afrika,Afrika,DZ,Algerien,C,27,Elektrische Ausrüstungen,1191826,1191826
EXP,2016,Afrika,Afrika,DZ,Algerien,C,28,Maschinen,18799921,18799921
EXP,2016,Afrika,Afrika,DZ,Algerien,J,58,Dienstleistungen des Verlagswesens,1560,1560
EXP,2016,Afrika,Afrika,DZ,Algerien,NA,NA,Verschiedene (weitere) Güterkategorien,2781824,8170518
EXP,2016,Afrika,Afrika,AO,Angola,NA,NA,Verschiedene (weitere) Güterkategorien,966332,966332
EXP,2016,Afrika,Afrika,BJ,Benin,NA,NA,Verschiedene (weitere) Güterkategorien,1991039,1991039
EXP,2016,Afrika,Afrika,BF,Burkina Faso,NA,NA,Verschiedene (weitere) Güterkategorien,78488,78488
EXP,2016,Afrika,Afrika,CV,Cabo Verde,NA,NA,Verschiedene (weitere) Güterkategorien,18134,18134
EXP,2016,Afrika,Afrika,CI,Côte d'Ivoire,C,20,Chemische Erzeugnisse,3303984,3303984
EXP,2016,Afrika,Afrika,CI,Côte d'Ivoire,C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",21841,21841
EXP,2016,Afrika,Afrika,CI,Côte d'Ivoire,C,28,Maschinen,869521,869521
EXP,2016,Afrika,Afrika,CI,Côte d'Ivoire,NA,NA,Verschiedene (weitere) Güterkategorien,2060007,2060007
EXP,2016,Afrika,Afrika,DJ,Dschibuti,NA,NA,Verschiedene (weitere) Güterkategorien,116063,116063
EXP,2016,Afrika,Afrika,ER,Eritrea,NA,NA,Verschiedene (weitere) Güterkategorien,136682,136682
EXP,2016,Afrika,Afrika,GA,Gabun,NA,NA,Verschiedene (weitere) Güterkategorien,125680,125680
EXP,2016,Afrika,Afrika,GM,Gambia,NA,NA,Verschiedene (weitere) Güterkategorien,111102,111102
