exporte_und_importe_pro_region_und_guterkategorie,x2,x3,x4,x5,x6,x7,x8,x9
Bundesamt für Zoll- und Grenzsicherheit BAZG,NA,NA,NA,NA,NA,NA,NA,NA
"Total 1: OHNE Edelmetalle, Edel- und Schmucksteine, Kunstgegenstände und Antiquitäten. Total 2: MIT Edelmetallen, Edel- und Schmucksteinen, Kunstgegenständen und Antiquitäten. Einige Güterkategorien sind aus Gründen des Datenschutzes zusammengefasst.",NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
vk,jahr,continent_desc,region,cpa_section,cpa2,cpa2_desc,tot1_chf,tot2_chf
EXP,2016,Afrika,Afrika,C,10,Nahrungs- und Futtermittel,10222721,10222721
EXP,2016,Afrika,Afrika,C,11,Getränke,947149,947149
EXP,2016,Afrika,Afrika,C,13,Textilien,898215,898215
EXP,2016,Afrika,Afrika,C,14,Bekleidung,77978,77978
EXP,2016,Afrika,Afrika,C,15,Leder und Lederwaren,67390,67390
EXP,2016,Afrika,Afrika,C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,137812,137812
EXP,2016,Afrika,Afrika,C,17,"Papier, Pappe und Waren daraus",190979,190979
EXP,2016,Afrika,Afrika,C,19,Kokereierzeugnisse und Mineralölerzeugnisse,17943,17943
EXP,2016,Afrika,Afrika,C,20,Chemische Erzeugnisse,45320544,45320544
EXP,2016,Afrika,Afrika,C,21,Pharmazeutische Erzeugnisse,2062873,2062873
EXP,2016,Afrika,Afrika,C,22,Gummi- und Kunststoffwaren,2545025,2545025
EXP,2016,Afrika,Afrika,C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",868226,868226
EXP,2016,Afrika,Afrika,C,24,Metalle,273423,18005569
EXP,2016,Afrika,Afrika,C,25,Metallerzeugnisse,5577334,5577334
EXP,2016,Afrika,Afrika,C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",74020375,74020375
EXP,2016,Afrika,Afrika,C,27,Elektrische Ausrüstungen,17330193,17330193
EXP,2016,Afrika,Afrika,C,28,Maschinen,55779305,55779305
EXP,2016,Afrika,Afrika,C,29,Kraftwagen und Kraftwagenteile,24440628,24440628
EXP,2016,Afrika,Afrika,C,30,Sonstige Fahrzeuge,13918293,13918293
EXP,2016,Afrika,Afrika,C,31,Möbel,439255,439255
EXP,2016,Afrika,Afrika,C,32,"Waren, a.n.g.",2388609,3858812
EXP,2016,Afrika,Afrika,E,38,"Dienstleistungen der Sammlung, Behandlung und Beseitigung von Abfällen sowie zur Rückgewinnung von Wertstoffen",240227,240227
EXP,2016,Afrika,Afrika,J,58,Dienstleistungen des Verlagswesens,1520277,1520277
EXP,2016,Afrika,Afrika,J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",38643,38643
EXP,2016,Afrika,Afrika,NA,NA,Verschiedene (weitere) Güterkategorien,37436,273037
EXP,2016,Amerika,US,A,1,Erzeugnisse der Landwirtschaft und Jagd sowie damit verbundene Dienstleistungen,2687635,2687635
EXP,2016,Amerika,US,C,10,Nahrungs- und Futtermittel,39816313,39816313
EXP,2016,Amerika,US,C,11,Getränke,215478,215478
EXP,2016,Amerika,US,C,13,Textilien,3039108,3039108
EXP,2016,Amerika,US,C,14,Bekleidung,1496233,1496233
EXP,2016,Amerika,US,C,15,Leder und Lederwaren,1791809,1791809
EXP,2016,Amerika,US,C,16,Holz sowie Holz- und Korkwaren (ohne Möbel); Flecht- und Korbwaren,260221,260221
EXP,2016,Amerika,US,C,17,"Papier, Pappe und Waren daraus",999083,999083
EXP,2016,Amerika,US,C,19,Kokereierzeugnisse und Mineralölerzeugnisse,1633747,1633747
EXP,2016,Amerika,US,C,20,Chemische Erzeugnisse,90243406,90497458
EXP,2016,Amerika,US,C,21,Pharmazeutische Erzeugnisse,10198290,10198290
EXP,2016,Amerika,US,C,22,Gummi- und Kunststoffwaren,17255009,17255009
EXP,2016,Amerika,US,C,23,"Glas- und Glaswaren, Keramik, verarbeitete Steine und Erden",9777064,9777064
EXP,2016,Amerika,US,C,24,Metalle,1855702,236568432
EXP,2016,Amerika,US,C,25,Metallerzeugnisse,33638798,33638798
EXP,2016,Amerika,US,C,26,"Datenverarbeitungsgeräte, elektronische und optische Erzeugnisse",353255306,353255306
EXP,2016,Amerika,US,C,27,Elektrische Ausrüstungen,102937054,102937054
EXP,2016,Amerika,US,C,28,Maschinen,322540668,322540668
EXP,2016,Amerika,US,C,29,Kraftwagen und Kraftwagenteile,2470496,2470496
EXP,2016,Amerika,US,C,30,Sonstige Fahrzeuge,98237385,98237385
EXP,2016,Amerika,US,C,31,Möbel,10907719,10907719
EXP,2016,Amerika,US,C,32,"Waren, a.n.g.",144330798,195332206
EXP,2016,Amerika,US,J,58,Dienstleistungen des Verlagswesens,3535701,3535701
EXP,2016,Amerika,US,J,59,"Dienstleistungen der Herstellung, des Verleihs und Vertriebs von Filmen und Fernsehprogrammen, von Kinos und Tonstudios; Verlagsleistungen bezüglich Musik",356257,356257
EXP,2016,Amerika,US,R,90,"Kreative, künstlerische und unterhaltende Dienstleistungen",0,205017219
EXP,2016,Amerika,US,R,91,"Dienstleistungen von Bibliotheken, Archiven und Museen, botanischen und zoologischen Gärten",0,24004817
EXP,2016,Amerika,US,NA,NA,Verschiedene (weitere) Güterkategorien,621746,905668
